,State,Natural Disaster,Year
250,CA,Fire,2007
251,OK,Severe Storm(s),2007
252,CA,Fire,2007
253,CA,Fire,2007
254,TX,Hurricane,2007
255,OK,Severe Storm(s),2007
256,OK,Severe Storm(s),2007
257,CA,Fire,2007
258,CA,Fire,2007
259,TX,Severe Storm(s),2007
260,CA,Fire,2007
261,CA,Fire,2007
262,CA,Fire,2007
263,CA,Fire,2007
264,CA,Fire,2007
265,CA,Fire,2007
266,CA,Fire,2007
267,CA,Fire,2007
268,CA,Fire,2007
269,CA,Fire,2007
270,OK,Severe Ice Storm,2007
271,OK,Severe Ice Storm,2007
272,TX,Fire,2008
273,TX,Fire,2008
274,TX,Fire,2008
275,TX,Fire,2008
276,OK,Fire,2008
277,TX,Fire,2008
278,TX,Fire,2008
279,TX,Fire,2008
280,TX,Fire,2008
281,TX,Fire,2008
282,TX,Fire,2008
283,TX,Fire,2008
284,TX,Fire,2008
285,TX,Fire,2008
286,TX,Fire,2008
287,OK,Fire,2008
288,TX,Fire,2008
289,TX,Fire,2008
290,TX,Fire,2008
291,CO,Fire,2008
292,TX,Fire,2008
293,CA,Fire,2008
294,TX,Fire,2008
295,OK,Severe Storm(s),2008
296,OK,Flood,2008
297,FL,Fire,2008
298,OK,Severe Storm(s),2008
299,CA,Fire,2008
300,CO,Severe Storm(s),2008
301,TX,Fire,2008
302,TX,Fire,2008
303,OK,Fire,2008
304,CA,Fire,2008
305,CA,Fire,2008
306,CA,Fire,2008
307,TX,Fire,2008
308,CA,Fire,2008
309,CA,Fire,2008
310,CO,Fire,2008
311,CA,Fire,2008
312,CA,Fire,2008
313,CA,Fire,2008
314,CA,Fire,2008
315,OK,Severe Storm(s),2008
316,TX,Hurricane,2008
317,TX,Fire,2008
318,FL,Severe Storm(s),2008
319,FL,Severe Storm(s),2008
320,TX,Hurricane,2008
321,CA,Fire,2008
322,FL,Hurricane,2008
323,TX,Hurricane,2008
324,TX,Hurricane,2008
325,OK,Severe Storm(s),2008
326,CA,Fire,2008
327,CA,Fire,2008
328,FL,Hurricane,2008
329,CA,Fire,2008
330,CA,Fire,2008
331,CA,Fire,2008
332,CA,Fire,2008
333,CO,Fire,2009
334,OK,Severe Storm(s),2009
335,OK,Severe Storm(s),2009
336,TX,Fire,2009
337,TX,Fire,2009
338,TX,Fire,2009
339,TX,Fire,2009
340,TX,Fire,2009
341,OK,Fire,2009
342,TX,Fire,2009
343,TX,Fire,2009
344,TX,Fire,2009
345,TX,Fire,2009
346,TX,Fire,2009
347,TX,Fire,2009
348,TX,Fire,2009
349,TX,Fire,2009
350,OK,Fire,2009
351,OK,Fire,2009
352,TX,Fire,2009
353,OK,Fire,2009
354,OK,Fire,2009
355,OK,Fire,2009
356,TX,Fire,2009
357,TX,Fire,2009
358,FL,Severe Storm(s),2009
359,CA,Fire,2009
360,FL,Fire,2009
361,FL,Severe Storm(s),2009
362,OK,Fire,2009
363,CA,Fire,2009
364,CA,Fire,2009
365,CA,Fire,2009
366,CA,Fire,2009
367,CA,Fire,2009
368,CA,Fire,2009
369,CA,Fire,2009
370,CA,Fire,2009
371,CA,Fire,2009
372,OK,Severe Storm(s),2010
373,OK,Severe Storm(s),2009
374,OK,Severe Ice Storm,2010
375,CA,Severe Storm(s),2010
376,OK,Severe Storm(s),2010
377,TX,Hurricane,2010
378,OK,Severe Storm(s),2010
379,CA,Fire,2010
380,CA,Fire,2010
381,CA,Fire,2010
382,TX,Hurricane,2010
383,CA,Fire,2010
384,CO,Fire,2010
385,CA,Fire,2010
386,CO,Fire,2010
387,CA,Fire,2010
388,CA,Flood,2010
389,OK,Severe Storm(s),2011
390,TX,Fire,2011
391,TX,Fire,2011
392,TX,Fire,2011
393,TX,Fire,2011
394,TX,Fire,2011
395,OK,Fire,2011
396,OK,Fire,2011
397,TX,Fire,2011
398,OK,Fire,2011
399,OK,Fire,2011
400,CO,Fire,2011
401,OK,Fire,2011
402,CO,Fire,2011
403,OK,Fire,2011
404,TX,Fire,2011
405,TX,Fire,2011
406,OK,Fire,2011
407,TX,Fire,2011
408,TX,Fire,2011
409,TX,Fire,2011
410,OK,Fire,2011
411,TX,Fire,2011
412,TX,Fire,2011
413,OK,Fire,2011
414,TX,Fire,2011
415,TX,Fire,2011
416,TX,Fire,2011
417,TX,Fire,2011
418,TX,Fire,2011
419,TX,Fire,2011
420,TX,Fire,2011
421,TX,Fire,2011
422,OK,Severe Storm(s),2011
423,TX,Fire,2011
424,FL,Fire,2011
425,TX,Fire,2011
426,TX,Fire,2011
427,TX,Fire,2011
428,TX,Fire,2011
429,TX,Fire,2011
430,OK,Severe Storm(s),2011
431,TX,Fire,2011
432,OK,Severe Storm(s),2011
433,TX,Fire,2011
434,TX,Fire,2011
435,TX,Fire,2011
436,TX,Fire,2011
437,TX,Fire,2011
438,OK,Severe Storm(s),2011
439,TX,Fire,2011
440,CO,Fire,2011
441,TX,Fire,2011
442,TX,Fire,2011
443,TX,Fire,2011
444,TX,Fire,2011
445,TX,Fire,2011
446,TX,Fire,2011
447,TX,Fire,2011
448,TX,Fire,2011
449,OK,Fire,2011
450,TX,Fire,2011
451,TX,Fire,2011
452,OK,Fire,2011
453,OK,Fire,2011
454,OK,Fire,2011
455,OK,Fire,2011
456,OK,Fire,2011
457,OK,Fire,2011
458,OK,Fire,2011
459,OK,Fire,2011
460,OK,Fire,2011
461,OK,Fire,2011
462,OK,Fire,2011
463,TX,Fire,2011
464,OK,Fire,2011
465,TX,Fire,2011
466,OK,Fire,2011
467,OK,Fire,2011
468,CA,Fire,2011
469,OK,Fire,2011
470,TX,Fire,2011
471,TX,Fire,2011
472,TX,Fire,2011
473,TX,Fire,2011
474,CA,Fire,2011
475,TX,Fire,2011
476,TX,Fire,2011
477,TX,Fire,2011
478,TX,Fire,2011
479,TX,Fire,2011
480,TX,Fire,2011
481,TX,Fire,2011
482,CA,Fire,2011
483,CA,Fire,2011
484,CO,Fire,2012
485,TX,Fire,2012
486,CO,Fire,2012
487,OK,Severe Storm(s),2012
488,CO,Fire,2012
489,CO,Fire,2012
490,CO,Fire,2012
491,FL,Severe Storm(s),2012
492,OK,Fire,2012
493,OK,Fire,2012
494,OK,Fire,2012
495,OK,Fire,2012
496,OK,Fire,2012
497,OK,Fire,2012
498,OK,Fire,2012
499,CA,Fire,2012
500,CA,Fire,2012
501,OK,Fire,2012
502,CA,Fire,2012
503,FL,Hurricane,2012
504,CO,Fire,2012
505,OK,Severe Storm(s),2013
506,CA,Fire,2013
507,CA,Fire,2013
508,CA,Fire,2013
509,CO,Fire,2013
510,CO,Fire,2013
511,CO,Fire,2013
512,CO,Fire,2013
513,CO,Fire,2013
514,CO,Fire,2013
515,FL,Severe Storm(s),2013
516,CA,Fire,2013
517,CA,Fire,2013
518,CA,Fire,2013
519,CA,Fire,2013
520,CA,Fire,2013
521,CO,Flood,2013
522,CO,Flood,2013
523,CA,Fire,2013
524,TX,Severe Storm(s),2013
525,CA,Fire,2014
526,OK,Severe Storm(s),2013
527,OK,Fire,2014
528,FL,Severe Storm(s),2014
529,TX,Fire,2014
530,CA,Fire,2014
531,CA,Fire,2014
532,CA,Fire,2014
533,CA,Fire,2014
534,CA,Fire,2014
535,CA,Fire,2014
536,CA,Fire,2014
537,CA,Fire,2014
538,CA,Fire,2014
539,CA,Fire,2014
540,CA,Fire,2014
541,CA,Fire,2014
542,CA,Fire,2014
543,CA,Fire,2014
544,CA,Fire,2014
545,CA,Flood,2014
546,OK,Severe Storm(s),2015
547,TX,Severe Storm(s),2015
548,CO,Flood,2015
549,CA,Fire,2015
550,CA,Fire,2015
551,CA,Fire,2015
552,CA,Fire,2015
553,CA,Fire,2015
554,CA,Fire,2015
555,TX,Fire,2015
556,OK,Fire,2015
557,TX,Severe Storm(s),2015
558,OK,Severe Ice Storm,2015
559,OK,Fire,2016
560,TX,Severe Storm(s),2015
561,OK,Severe Storm(s),2015
562,OK,Fire,2016
563,TX,Flood,2016
564,OK,Fire,2016
565,TX,Flood,2016
566,CA,Fire,2016
567,TX,Flood,2016
568,CA,Fire,2016
569,CA,Fire,2016
570,CA,Fire,2016
571,CA,Fire,2016
572,CO,Fire,2016
573,OK,Flood,2016
574,CA,Fire,2016
575,CA,Fire,2016
576,CA,Fire,2016
577,CA,Fire,2016
578,CA,Fire,2016
579,CA,Fire,2016
580,CA,Fire,2016
581,CA,Fire,2016
582,FL,Hurricane,2016
583,CO,Fire,2016
584,FL,Hurricane,2016
585,FL,Hurricane,2016
586,CO,Fire,2016
587,OK,Severe Storm(s),2017
588,OK,Fire,2017
589,CA,Severe Storm(s),2017
590,CA,Severe Storm(s),2017
591,OK,Fire,2017
592,OK,Fire,2017
593,CA,Flood,2017
594,CA,Flood,2017
595,FL,Fire,2017
596,FL,Fire,2017
597,FL,Fire,2017
598,CA,Severe Storm(s),2017
599,OK,Severe Storm(s),2017
600,CA,Fire,2017
601,CA,Fire,2017
602,TX,Hurricane,2017
603,CA,Fire,2017
604,CA,Fire,2017
605,CA,Fire,2017
606,CA,Fire,2017
607,CA,Fire,2017
608,FL,Hurricane,2017
609,FL,Hurricane,2017
610,FL,Hurricane,2017
611,CA,Fire,2017
612,FL,Hurricane,2017
613,FL,Hurricane,2017
614,CA,Fire,2017
615,CA,Fire,2017
616,CA,Fire,2017
617,CA,Fire,2017
618,CA,Fire,2017
619,CA,Fire,2017
620,CA,Fire,2017
621,CA,Fire,2017
622,CA,Fire,2017
623,CA,Fire,2017
624,CA,Fire,2017
625,CA,Fire,2017
626,CA,Fire,2017
627,CA,Fire,2017
628,CA,Fire,2017
629,CA,Fire,2017
630,CA,Fire,2017
631,CA,Fire,2017
632,OK,Fire,2018
633,OK,Fire,2018
634,OK,Fire,2018
635,TX,Fire,2018
636,TX,Fire,2018
637,TX,Fire,2018
638,TX,Fire,2018
639,CA,Fire,2018
640,CA,Fire,2018
641,OK,Fire,2018
642,CO,Fire,2018
643,CO,Fire,2018
644,CO,Fire,2018
645,CA,Fire,2018
646,TX,Flood,2018
647,CA,Fire,2018
648,CA,Fire,2018
649,TX,Fire,2018
650,CA,Fire,2018
651,CA,Fire,2018
652,CA,Fire,2018
653,CA,Fire,2018
654,TX,Fire,2018
655,CA,Fire,2018
656,CA,Fire,2018
657,FL,Hurricane,2018
658,FL,Hurricane,2018
659,CA,Fire,2018
660,CA,Fire,2018
661,CA,Fire,2018
662,CA,Fire,2018
663,CA,Fire,2018
664,TX,Flood,2018
665,CA,Severe Storm(s),2019
666,CA,Severe Storm(s),2019
667,CA,Severe Storm(s),2019
668,CA,Severe Storm(s),2019
669,CA,Severe Storm(s),2019
670,OK,Flood,2019
671,OK,Severe Storm(s),2019
672,OK,Severe Storm(s),2019
673,TX,Flood,2019
674,OK,Severe Storm(s),2019
675,TX,Fire,2019
676,FL,Hurricane,2019
677,FL,Hurricane,2019
678,TX,Flood,2019
679,CA,Fire,2019
680,FL,Hurricane,2019
681,CA,Fire,2019
682,CA,Fire,2019
683,CA,Fire,2019
684,CA,Fire,2019
685,CA,Fire,2019
686,CA,Fire,2019
687,CA,Fire,2019
688,CA,Fire,2019
689,CA,Fire,2019
690,OK,Fire,2019
691,OK,Fire,2019
692,OK,Fire,2020
693,FL,Fire,2020
694,FL,Fire,2020
695,FL,Fire,2020
696,TX,Hurricane,2020
697,FL,Hurricane,2020
698,CA,Fire,2020
699,CA,Fire,2020
700,CA,Fire,2020
701,CA,Fire,2020
702,CA,Fire,2020
703,CO,Fire,2020
704,CO,Fire,2020
705,CA,Fire,2020
706,CA,Fire,2020
707,CA,Fire,2020
708,CA,Fire,2020
709,TX,Hurricane,2020
710,CA,Fire,2020
711,CO,Fire,2020
712,CA,Fire,2020
713,CA,Fire,2020
714,CA,Fire,2020
715,CA,Fire,2020
716,CA,Fire,2020
717,FL,Hurricane,2020
718,FL,Hurricane,2020
719,CA,Fire,2020
720,CA,Fire,2020
